Account,2023,2022,2021,2020,2019,2018,2017,2016
autres_creances,75057288,51490617,55048536,37160230,41133836,29352754,22597537,16422233
autres_dettes,25956268,24163620,22258811,14519352,13968107,9728827,12615481,13164606
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_emprunts_obligataires,1602990,3000,57876,0,0,38276,0,3298
autres_immobilisations_corporelles,94835359,91168516,55496759,28214773,22497999,12230288,7805374,6478086
autres_immobilisations_financieres,6140778,6125896,6466159,3039410,1919331,2207272,1806333,1227179
autres_immobilisations_incorporelles,425753,421421,400251,2935237,261123,201989,148200,307715
autres_participations,74579566,66837144,38391203,32557365,32888365,7997462,2895048,216981
autres_reserves,48845278,37134971,30168342,23028376,16006393,12617062,7472026,5563226
autres_titres_immobilises,280799,125844,118493,79549,84873,85861,40515,41420
avances_conditionnees,26364413,24020400,19673570,7002366,5797459,5246546,5246546,5246546
avances_et_acomptes,333180,598585,283167,168942,484786,77895,51812,71004
avances_et_acomptes_recus_sur_commandes_en_cours,3957427,4200393,2821608,1902954,769486,1015818,1075813,676474
avances_et_acomptes_sur_immobilisations_incorporelles,10944,19000,4142,0,13440,0,0,0
avances_et_acomptes_verses_sur_commandes,1805022,2582761,1142336,538510,372714,329622,376735,797145
capital_social_ou_individuel,74966982,35555540,34516201,28973443,26020651,15348002,13882461,10153754
capital_souscrit_et_appele_non_verse,0,0,0,0,0,0,-64,0
capital_souscrit_non_appele,0,0,0,0,200000,400000,0,15000
charges_a_repartir_ou_frais_demission_demprunt,284142,323967,56104,39133,0,0,0,0
charges_constatees_davance,6927050,5063837,4287052,4050298,3542969,4921098,2178295,1972792
clients_et_comptes_rattaches,31801331,32770292,22242725,14408835,15473314,15032230,9365668,9245143
concessions_brevets_et_droits_similaires,2054147,2665287,3190473,3351970,3523971,3708457,1181626,3847937
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,3902532,4820704,312338,232081,442185,442989,279726,85362
constructions,54614695,56271448,59373454,42772337,24136640,23514754,22195482,9911111
creances__autres,83539,75304,67602,378458,376013,105487,496918,287702
creances__clients_et_comptes_rattaches,100365,97562,67499,73841,76101,12416,92122,132637
creances_rattachees_a_des_participations,6759889,4911667,4515498,4042091,2241065,1538246,225414,1056723
dettes_diverses,18585,7886,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,120890361,120855198,104934810,90123409,55897889,40643869,41323464,14281601
dettes_fiscales_et_sociales,37367912,36207502,31217035,18406174,19119058,16277266,14623035,10546560
dettes_fournisseurs_et_comptes_rattaches,58222432,50403598,49402518,37081612,29101084,24241457,19362071,15884365
