Account,2023,2022,2021,2020,2019,2018,2017,2016
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,22508931.0,21772085.0,33732613.0,10496012.0,35731357.0,42042597.0,139472.0,-271930.0
_resultat_dexploitation_i__ii,25138839.0,25791136.0,32301621.0,12586864.0,37125766.0,43135538.0,139995.0,-351337.0
_resultat_exceptionnel_vii__viii,-629523.0,-1973769.0,5048509.0,-163411.0,-1467321.0,-594247.0,3810.0,2210.0
_resultat_financier_v__vi,-2629912.0,-4019051.0,1430993.0,-2090850.0,-1394407.0,-1092941.0,-524.0,79407.0
achats_de_marchandises_y_compris_droits_de_douane,389865352.0,347362923.0,253583729.0,209926368.0,240599106.0,230994510.0,20.0,10469200.0
achats_de_matieres_premieres_et_autres_approvisionnements,16155596.0,16900504.0,10395706.0,9075671.0,5759608.0,1988017.0,0.0,20233.0
autres_achats_et_charges_externes,75270759.0,73202173.0,53403066.0,49920483.0,49495103.0,49450512.0,710853.0,685461.0
autres_charges,4224923.0,5400653.0,3014740.0,2861000.0,3196171.0,1811405.0,0.0,65.0
autres_interets_et_produits_assimiles,344274.0,12281.0,2413045.0,42357.0,22748.0,69126.0,0.0,205.0
autres_produits,-588127.0,2053090.0,1056314.0,779581.0,335135.0,1046645.0,0.0,195.0
benefice_attribue_ou_perte_transferee_iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benefice_ou_perte_total_des_produits__total_des_charges,14729520.0,13065493.0,29061254.0,3289374.0,21759532.0,26286937.0,103431.0,-267223.0
charges_exceptionnelles_sur_operations_de_gestion,9594.0,3642687.0,1242548.0,2801002.0,2488376.0,111716.0,3227.0,0.0
charges_exceptionnelles_sur_operations_en_capital,131390.0,2040839.0,1301117.0,227393.0,30681.0,86791.0,2061.0,10000.0
charges_nettes_sur_cessions_de_valeurs_mobilieres_de_placement,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0
charges_sociales,15360247.0,13203988.0,13777355.0,11309763.0,9601640.0,9698649.0,429648.0,305012.0
chiffres_daffaires_nets,579627319.0,503596516.0,419551134.0,339821830.0,371005168.0,371092753.0,2551429.0,11541061.0
differences_negatives_de_change,414263.0,899034.0,388538.0,214243.0,197746.0,381396.0,0.0,0.0
differences_positives_de_change,320446.0,402727.0,95970.0,296757.0,159496.0,380073.0,0.0,0.0
dot_dexploit__dotations_aux_amortissements,5291429.0,5404879.0,6261228.0,4702252.0,3704467.0,3748318.0,47154.0,0.0
dot_dexploit__dotations_aux_provisions,414770.0,160000.0,527001.0,0.0,0.0,0.0,0.0,0.0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,2567831.0,1633730.0,1699053.0,1589506.0,1729269.0,997909.0,0.0,0.0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,4557257.0,6793166.0,5775293.0,9422431.0,4388093.0,3516071.0,0.0,161461.0
dotations_exceptionnelles_aux_amortissements_et_provisions,68000.0,98853.0,2556744.0,1262374.0,653530.0,78283.0,0.0,2675.0
dotations_financieres_sur_amortissements_et_provisions,496662.0,2616276.0,229160.0,1371767.0,125261.0,7528.0,0.0,0.0
impots_sur_les_benefices,6809919.0,6389045.0,9555294.0,7004631.0,12463507.0,15152163.0,39851.0,-2497.0
impots_taxes_et_versements_assimiles,2493812.0,2439394.0,8316927.0,2617429.0,2765600.0,3026343.0,28711.0,56075.0
interets_et_charges_assimilees,2753474.0,750981.0,599568.0,1249808.0,1362720.0,1425889.0,524.0,43298.0
