SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
485133706,total_ii_actif_circulant,0,0,0,0,0,0,174111,164773
485133706,total_general_actif,0,0,0,0,0,0,182843,176512
485133706,capital_social_ou_individuel,0,0,0,0,0,0,5000,5000
485133706,reserve_legale,0,0,0,0,0,0,500,500
485133706,autres_reserves,0,0,0,0,0,0,84903,73321
485133706,resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,19786,16582
485133706,total_i_capital_social,0,0,0,0,0,0,110189,95403
485133706,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,1342,4490
485133706,emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,20413,20305
485133706,dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,5407,12381
485133706,dettes_fiscales_et_sociales,0,0,0,0,0,0,40695,39137
485133706,autres_dettes,0,0,0,0,0,0,4796,4796
485133706,total_iv_dettes,0,0,0,0,0,0,72654,81109
485133706,total_general_passif,0,0,0,0,0,0,182843,176512
485133706,dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,72654,79773
402194484,concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
402194484,fonds_commercial,0,30490,30490,30490,30490,30490,30490,30490
402194484,constructions,0,0,0,15,1046,3065,5244,7423
402194484,installations_techniques_materiel_et_outillage_industriels,0,16571,19556,4933,3144,1244,1882,849
402194484,autres_immobilisations_corporelles,0,45761,68426,63967,77806,90760,82387,61807
402194484,autres_immobilisations_financieres,0,2239,2239,2239,2239,2239,2239,2239
402194484,total_i_immobilisations,0,95061,120711,101644,114725,127798,122242,102808
402194484,marchandises,0,2351,6153,4473,5381,11939,12150,20703
402194484,avances_et_acomptes_verses_sur_commandes,0,120,1024,0,0,0,0,0
402194484,autres_creances,0,9384,11087,66368,18178,9889,6294,33647
402194484,disponibilites,0,0,4874,1844,5859,3223,6561,5936
402194484,charges_constatees_davance,0,1641,551,1038,1622,823,1246,1149
402194484,total_ii_actif_circulant,0,13497,23689,73723,31039,25875,26250,61436
402194484,total_general_actif,0,108558,144399,175367,145765,153673,148493,164244
402194484,capital_social_ou_individuel,0,7622,7622,7622,7622,7622,7622,7622
402194484,reserve_legale,0,762,762,762,762,762,762,762
402194484,autres_reserves,0,148192,148192,148192,148192,148192,148192,148192
402194484,report_a_nouveau,0,-43843,-26628,-49777,-51423,-69759,-30713,-5668
402194484,resultat_de_lexercice_benefice_ou_perte,0,-25243,-17214,23149,1646,18336,-39046,-25045
402194484,total_i_capital_social,0,87491,112734,129948,106800,105153,86818,125863
402194484,emprunts_et_dettes_financieres_divers,0,5491,2322,9019,9645,7025,206,0
402194484,dettes_fournisseurs_et_comptes_rattaches,0,11885,20388,19030,4296,6355,9975,5416
402194484,dettes_fiscales_et_sociales,0,4552,2948,1265,2895,2604,10383,32764
402194484,total_iv_dettes,0,21067,31665,45419,38965,48520,61675,38381
402194484,total_general_passif,0,108558,144399,175367,145765,153673,148493,164244
402194484,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,-862,6007,16105,22128,32537,41111,0
402194484,dettes_et_produits_constates_davance_a_moins_dun_an,0,21067,31665,0,38965,48520,61675,0
402194484,participations_evaluees_mise_en_equivalence,0,0,0,0,0,0,0,0
402194484,emprunts_participatifs,0,0,0,9019,0,0,0,0
817391238,concessions_brevets_et_droits_similaires,1151,2884,4702,0,13680,22816,0,0
817391238,constructions,582084,626241,670435,0,759170,783301,0,0
817391238,installations_techniques_materiel_et_outillage_industriels,106569,119083,125803,0,160474,147979,0,0
817391238,autres_immobilisations_corporelles,98798,111727,123935,0,114467,115594,0,0
817391238,autres_titres_immobilises,1235,1235,1235,0,1235,1235,0,0
817391238,autres_immobilisations_financieres,22816,20506,20226,0,19125,19125,0,0
817391238,total_i_immobilisations,812653,881675,946336,0,1068151,1090050,0,0
817391238,marchandises,12649,12568,12029,0,10383,15310,0,0
817391238,clients_et_comptes_rattaches,8009,12143,73559,0,66682,47981,0,0
817391238,autres_creances,84014,66044,41805,0,24395,36647,0,0
817391238,disponibilites,83254,192489,347729,0,75993,63602,0,0
817391238,charges_constatees_davance,36409,849,27057,0,24439,20134,0,0
817391238,total_ii_actif_circulant,224336,284094,504837,0,204726,187604,0,0
817391238,total_general_actif,1036990,1165769,1451173,0,1272877,1277654,0,0
817391238,parts_a_moins_dun_an,0,0,0,0,0,0,0,0
817391238,capital_social_ou_individuel,287000,287000,287000,0,287000,287000,0,0
817391238,report_a_nouveau,-116064,-89094,-127388,0,-142206,-143360,0,0
817391238,resultat_de_lexercice_benefice_ou_perte,883,-26970,38294,0,47193,1154,0,0
817391238,provisions_reglementees,-26622,-26622,-26622,0,0,0,0,0
817391238,total_i_capital_social,145198,144315,171284,0,191987,144794,0,0
817391238,emprunts_et_dettes_aupres_des_etablissements_de_credit,412369,623202,816145,0,658162,782207,0,0
817391238,emprunts_et_dettes_financieres_divers,185891,179300,182429,0,213869,41763,0,0
817391238,dettes_fournisseurs_et_comptes_rattaches,191374,124615,155217,0,91505,90658,0,0
817391238,dettes_fiscales_et_sociales,90675,87541,107681,0,105145,91059,0,0
817391238,autres_dettes,11482,6796,18417,0,12210,127172,0,0
817391238,total_iv_dettes,891792,1021454,1279888,0,1080891,1132860,0,0
817391238,total_general_passif,1036990,1165769,1451173,0,1272877,1277654,0,0
817391238,dettes_et_produits_constates_davance_a_moins_dun_an,716190,609828,658361,0,685757,0,0,0
817391238,concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,600,538,518,0,1135,0,0,0
817391238,matieres_premieres_approvisionnements,0,0,2658,0,2833,3931,0,0
529152100,immobilisations_incorporelles_fonds_commercial,78833,0,0,0,0,0,0,0
529152100,immobilisations_corporelles,31571,0,0,0,0,0,0,0
529152100,immobilisations_financieres,22,0,0,0,0,0,0,0
529152100,total_actif_immobilise,110425,0,0,0,0,0,0,0
529152100,stock_marchandises,9443,0,0,0,0,0,0,0
529152100,creances_autres,2332,0,0,0,0,0,0,0
529152100,disponibilites,28593,0,0,0,0,0,0,0
529152100,charges_constatees_davance,1090,0,0,0,0,0,0,0
529152100,total_actif_circulant_charges_constatees_davance,41458,0,0,0,0,0,0,0
529152100,total_general_actif,151884,0,0,0,0,0,0,0
529152100,capital_social_ou_individuel,5000,0,0,0,0,0,0,0
529152100,reserve_legale,500,0,0,0,0,0,0,0
529152100,autres_reserves,111006,0,0,0,0,0,0,0
529152100,resultat_de_lexercice,-56776,0,0,0,0,0,0,0
529152100,total_des_capitaux_propres_total_i,59730,0,0,0,0,0,0,0
529152100,emprunts_et_dettes_assimilees,26670,0,0,0,0,0,0,0
529152100,fournisseurs_et_comptes_rattaches,13858,0,0,0,0,0,0,0
529152100,autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
529152100,autres_dettes,18224,0,0,0,0,0,0,0
529152100,produits_constates_davance,33402,0,0,0,0,0,0,0
529152100,total_des_dettes,92154,0,0,0,0,0,0,0
529152100,total_general_passif,151884,0,0,0,0,0,0,0
840873558,immobilisations_incorporelles_autres,0,272,512,832,1072,0,0,0
840873558,immobilisations_corporelles,0,223550,233295,278938,308448,0,0,0
840873558,immobilisations_financieres,0,15140,15140,15140,15140,0,0,0
840873558,total_actif_immobilise,0,238962,248947,294910,324660,0,0,0
840873558,matieres_premieres_approvisionnements_en_cours_de_production,0,8819,1735,4204,1267,0,0,0
840873558,stock_marchandises,0,1783,1926,1052,1550,0,0,0
840873558,creances_clients_et_comptes_rattaches,0,6237,5754,0,850,0,0,0
840873558,creances_autres,0,10531,18848,29149,16746,0,0,0
840873558,disponibilites,0,71427,73601,109841,30705,0,0,0
840873558,charges_constatees_davance,0,10443,10465,14246,17212,0,0,0
