SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
829080605,production_vendue_biens,0,0,59410,86778,0,0,0,0
829080605,chiffres_daffaires_nets,0,0,59410,86778,0,0,0,0
829080605,subventions_dexploitation,0,0,50000,30000,0,0,0,0
829080605,autres_produits,0,0,1572,26,0,0,0,0
829080605,total_des_produits_dexploitation_i,0,0,110982,116804,0,0,0,0
829080605,achats_de_matieres_premieres_et_autres_approvisionnements,0,0,1665,1872,0,0,0,0
829080605,autres_achats_et_charges_externes,0,0,39719,31076,0,0,0,0
829080605,impots_taxes_et_versements_assimiles,0,0,2386,1355,0,0,0,0
829080605,salaires_et_traitements,0,0,51318,44563,0,0,0,0
829080605,charges_sociales,0,0,11224,7636,0,0,0,0
829080605,dot_dexploit_dotations_aux_amortissements,0,0,17816,16456,0,0,0,0
829080605,autres_charges,0,0,6,8,0,0,0,0
829080605,total_des_charges_dexploitation_ii,0,0,124134,102966,0,0,0,0
829080605,resultat_dexploitation_i_ii,0,0,-13152,13838,0,0,0,0
829080605,total_des_produits_financiers_v,0,0,0,0,0,0,0,0
829080605,total_des_charges_financieres_vi,0,0,100,147,0,0,0,0
829080605,resultat_financier_v_vi,0,0,-100,-147,0,0,0,0
829080605,resultat_courant_avant_impots_i_ii_iii_iv_v_vi,0,0,-13252,13691,0,0,0,0
829080605,total_des_charges_exceptionnelles_viii,0,0,42,44,0,0,0,0
829080605,resultat_exceptionnel_vii_viii,0,0,-42,-44,0,0,0,0
829080605,total_des_produits_i_iii_v_vii,0,0,110982,116804,0,0,0,0
829080605,total_des_charges_ii_iv_vi_viii_ix_x,0,0,124276,103157,0,0,0,0
829080605,benefice_ou_perte_total_des_produits_total_des_charges,0,0,-13294,13647,0,0,0,0
829080605,interets_et_charges_assimilees,0,0,100,0,0,0,0,0
829080605,charges_exceptionnelles_sur_operations_de_gestion,0,0,42,0,0,0,0,0
501676167,production_vendue_services,539659,723878,1007243,890398,737537,0,556872,366849
501676167,chiffres_daffaires_nets,539659,723878,1007243,890398,737537,0,556872,366849
501676167,production_immobilisee,0,0,0,4178,960,0,0,0
501676167,subventions_dexploitation,0,0,23994,0,0,0,15034,4330
501676167,reprises_sur_amortissements_et_provisions_transfert_de_charges,82331,91234,45660,34461,515,0,1236,0
501676167,autres_produits,7478,11007,1775,308,766,0,58,0
501676167,total_des_produits_dexploitation_i,629470,826120,1078673,929346,739779,0,573202,371179
501676167,achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,100,0,0,0,0
501676167,autres_achats_et_charges_externes,260452,380089,407883,323740,311606,0,268690,127351
501676167,impots_taxes_et_versements_assimiles,5558,10731,20224,19596,18282,0,7533,3631
501676167,salaires_et_traitements,432831,525836,545741,466985,399564,0,424878,194205
501676167,charges_sociales,101574,144540,148884,120519,101051,0,113561,47341
501676167,dot_dexploit_dotations_aux_amortissements,224604,171630,130606,92414,52878,0,24851,7687
501676167,dot_dexploit_sur_actif_circulant_dotations_aux_provisions,32230,0,48833,0,0,0,6508,0
501676167,dot_dexploit_pour_risques_et_charges_dotations_aux_provisions,25000,35973,3617,2993,127,0,0,0
501676167,autres_charges,2362,87406,207,10,1028,0,8,8
501676167,total_des_charges_dexploitation_ii,1084616,1356207,1305998,1026361,884540,0,846032,380225
501676167,resultat_dexploitation_i_ii,-455146,-530087,-227325,-97014,-144760,0,-272830,-9045
