SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
434898904,concessions_brevets_et_droits_similaires,0,0,0,0,0,1750,0,0
434898904,installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
434898904,autres_immobilisations_corporelles,5867,395,959,1974,1108,1956,0,0
434898904,total_i_immobilisations,5867,395,959,1974,1108,3706,0,0
434898904,marchandises,390734,292640,228169,247109,292980,295278,0,0
434898904,clients_et_comptes_rattaches,42098,70104,26230,23387,129800,137446,0,0
434898904,autres_creances,42285,69293,46072,41789,48404,49384,0,0
434898904,disponibilites,112961,53785,80987,37972,66439,32857,0,0
434898904,charges_constatees_davance,15451,967,0,0,0,0,0,0
434898904,total_ii_actif_circulant,603528,486789,381458,350257,537623,514964,0,0
434898904,total_general_actif,609395,487184,382417,352231,538731,518671,0,0
434898904,capital_social_ou_individuel,100000,100000,100000,100000,100000,100000,0,0
434898904,reserve_legale,10000,10000,10000,10000,10000,10000,0,0
434898904,autres_reserves,171104,171104,171104,171104,171104,171104,0,0
434898904,report_a_nouveau,-294135,-296766,-323952,-327978,-350192,-364907,0,0
434898904,resultat_de_lexercice_benefice_ou_perte,-10121,2631,27185,4027,22214,14715,0,0
434898904,total_i_capital_social,-23151,-13030,-15662,-42847,-46874,-69088,0,0
434898904,provisions_pour_risques,0,0,91000,91000,91000,91000,0,0
434898904,total_iii_provisions,0,0,91000,91000,91000,91000,0,0
434898904,emprunts_et_dettes_aupres_des_etablissements_de_credit,11142,270,13022,24935,25215,162557,0,0
434898904,emprunts_et_dettes_financieres_divers,394603,6321,7799,106118,104830,103165,0,0
434898904,dettes_fournisseurs_et_comptes_rattaches,195617,461156,261265,155614,356524,177286,0,0
434898904,dettes_fiscales_et_sociales,28068,24498,8525,3696,2638,11299,0,0
434898904,autres_dettes,3117,7970,16468,13716,5398,42451,0,0
434898904,total_iv_dettes,632546,500214,307079,304078,494605,496758,0,0
434898904,total_general_passif,609395,487184,382417,352231,538731,518671,0,0
434898904,dettes_et_produits_constates_davance_a_moins_dun_an,632546,0,307079,304078,495033,0,0,0
434898904,concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,11142,0,12452,0,0,0,0,0
434898904,emprunts_participatifs,0,0,0,0,0,103165,0,0
539107763,fonds_commercial,0,0,0,0,0,0,10915,10915
539107763,autres_immobilisations_financieres,0,0,0,0,0,0,9087,9087
539107763,total_i_immobilisations,0,0,0,0,0,0,20002,20002
539107763,autres_creances,0,0,0,0,0,0,4839,10890
539107763,disponibilites,0,0,0,0,0,0,33553,32783
539107763,total_ii_actif_circulant,0,0,0,0,0,0,38392,43673
539107763,total_general_actif,0,0,0,0,0,0,58394,63675
539107763,capital_social_ou_individuel,0,0,0,0,0,0,1000,1000
539107763,report_a_nouveau,0,0,0,0,0,0,134,-23924
539107763,resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,253,24058
539107763,total_i_capital_social,0,0,0,0,0,0,1387,1134
539107763,emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,42338,48338
539107763,dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,13662,13192
539107763,dettes_fiscales_et_sociales,0,0,0,0,0,0,946,935
539107763,total_iv_dettes,0,0,0,0,0,0,57007,62541
539107763,total_general_passif,0,0,0,0,0,0,58394,63675
539107763,dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,57007,62541
539107763,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,60,0
539107763,concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,60,0
484616396,constructions,0,0,3999,0,0,0,0,10842
484616396,installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,247
484616396,autres_immobilisations_corporelles,0,0,22892,0,0,0,0,3452
484616396,autres_immobilisations_financieres,0,0,4800,0,0,0,0,750
484616396,total_i_immobilisations,0,0,31691,0,0,0,0,15291
484616396,marchandises,0,0,363105,0,0,0,0,152134
484616396,clients_et_comptes_rattaches,0,0,70021,0,0,0,0,29404
484616396,autres_creances,0,0,72806,0,0,0,0,37516
484616396,disponibilites,0,0,46776,0,0,0,0,0
484616396,charges_constatees_davance,0,0,0,0,0,0,0,2678
484616396,total_ii_actif_circulant,0,0,552708,0,0,0,0,221731
484616396,total_general_actif,0,0,584399,0,0,0,0,237022
484616396,capital_social_ou_individuel,0,0,4000,0,0,0,0,4000
484616396,reserve_legale,0,0,400,0,0,0,0,400
484616396,autres_reserves,0,0,323893,0,0,0,0,0
484616396,resultat_de_lexercice_benefice_ou_perte,0,0,78564,0,0,0,0,6378
484616396,total_i_capital_social,0,0,406857,0,0,0,0,164542
484616396,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,7097
484616396,emprunts_et_dettes_financieres_divers,0,0,15425,0,0,0,0,1564
484616396,dettes_fournisseurs_et_comptes_rattaches,0,0,110222,0,0,0,0,39797
484616396,dettes_fiscales_et_sociales,0,0,51895,0,0,0,0,24021
484616396,total_iv_dettes,0,0,177542,0,0,0,0,72480
484616396,total_general_passif,0,0,584399,0,0,0,0,237022
484616396,report_a_nouveau,0,0,0,0,0,0,0,153764
484616396,autres_dettes,0,0,0,0,0,0,0,0
326697273,concessions_brevets_et_droits_similaires,1599,1753,2960,0,3314,5054,6807,0
326697273,fonds_commercial,30490,30490,30490,0,30490,30490,30490,0
326697273,constructions,0,0,0,0,0,0,0,0
326697273,installations_techniques_materiel_et_outillage_industriels,956,467,1625,0,2132,3525,5054,0
326697273,autres_immobilisations_corporelles,2191,826,3164,0,19230,43774,74998,0
326697273,total_i_immobilisations,35235,33536,38239,0,55166,82842,117348,0
326697273,marchandises,3004800,2885184,2915779,0,3512770,3576335,3494551,0
